TranslatedRecipeName,TotalTimeInMins
Chettinad Pattani Kurma  ,35
Mustard Mayo Baby Potato Salad,35
Low Pot Alo Ponda,50
Hara Bhara Kebab  with Millet,60
Easy Tomato And Cheese Mini Pizza,140
High Protein Broccoli & Coriander Loaf,75
Oats Pesarattu,25
Beetroot Chas,25
Tomato Carrot Onion Soup,30
Maharashtrian Ambat Goda Dal,60
Boodida Gummadikaya Pachi Vadiyalu,20
Chettinad Chicken Curry,55
Karnataka Style Badanekayi Palya,65
Bengali Style Cholar Dal,40
No Bake Fudge Brownies,135
Udupi Style Pelakai Teepe Dose  ,50
No Bake White Chocolate Cheesecake,335
Thai Basil Chicken,40
Masoor Dal Makhani,30
Snow Drop Cookies,40
Roasted Cherry Tomato Soup,55
Kaju Pista Roll,55
Kathiawadi Dhokli Nu Shaak,45
Chocolate Chip Scone,45
Garlic Chickpeas And Spinach Curry ,60
Eggless Date And Cashew Cake,60
Doodhibhoplyacha Bharit,25
Cabbage Carrot Onion Pudina Thepla,40
Kolhapuri Palak Egg Curry,55
Cabbage Capsicum Sabzi,20
Spinach Ricotta Stuffed Ravioli  Tossed In Cheesy Pumpkin Sauc,90
Doodh Dudhi,40
Beetroot & Sesame Thepla,40
Capsicum Usili  ,35
Kathirikai Sundakkai Vathal Kuzhambu,35
Andhra Style Makka Garelu,40
Mutton Keema,40
Kesar Elaichi Shrikand,35
Dappalam,29
White Chickpeas In Spicy Gravy ,50
Spinach Corn Pasta  In Creamy White Sauc,55
Coriander Mint Chicken Tikka,40
Palak Tovve,50
Udupi Style Huli Podi  ,15
Cheesy Sweet Corn Grilled Sandwich,40
Yellow Pumpkin Pulao,30
Eggless Coffee Souffle  With Chocolate Sauc,25
Oats and Green Moong Dal Dahi Vada,560
Rajasthani Hare Chana Halwa  ,50
Hyderabadi Marag,30
Pan Fried Corn & Cheese Bites,45
Potato & Basil Frittata,40
Churma Ladoo  With Badam & Flaxsee,70
Suran Jo Kheemo,30
Lentil Tabbouleh  ,30
Double Chocolate Coconut Fudge,60
Pepe Chingri,40
Makai Dhokla,65
Maharashtrian Dinkache Ladoo  ,60
Wheat Paratha  With Pizza Toppin,50
Mysore Masala Dosa Made With Yeast Dosa Batte,60
Matar Chi Usal,75
Omurice,30
Sriracha Spiced Deviled Eggs,25
Strawberry Bundt Cake with Muesli and Oats,65
Beetroot Garlic Lemon Rasam,30
Oriya Hour Tarkari,65
Spicy Matar Masala ,60
Cucumber / Cucumber Fry,50
Lucknowi Singhade Ki Kachori ,45
Egg Roast Masala Dosa,30
Spiced Chocolate And Beetroot Tea Cake,45
Hariyali Chicken Tikka Wrap,125
Khandeshi Dal,40
Brinjal Prawns Masala Curry,40
Awadhi Style Taheri,50
Oats and Rajma Cutlet,55
Caramelised Onion Rosemary Chicken,45
Chicken Keema Samosa,60
Beetroot Cupcakes  With Oreo Frostin,50
Chutney Chilli Cheese Toast ,30
Buckwheat Vegetable Khichdi,150
Idly chat,30
Bruschetta With Coriander Mint Pesto And Red Bell Peppers,30
Palak Kadhi,30
Restaurant Style Chicken 555,20
Kerala Tomato Fry,30
Classic Hummus,30
Dum Ke Shami Kebab,55
Meat Masala Stuffed Bharwa Baingan,25
Steam Hilsa  ,30
Onion Pakora Roll,40
Banarasi Cabbage Vegetable,30
Pudina Chutney,30
Makka Cholam Sundal  ,30
Tamil Nadu Style Capsicum With Lentils Spice Mix ,35
Mullangi Poriyal,30
Anhui Bang Tofu Salad,35
Red Wine Chocolate Cake,60
Jaipuri Potato Onion Vegetable,55
Tagliatelle Pasta  With Fresh Tomato Basil Sauc,55
One Pot Vegetable Biryani  In Preethi Electric Pressure Cooke,45
Fada Ni Khichdi,50
Lavan,40
Raw Mango Dal Fry,40
Mixed Vegetable Idli Upma,20
Mixed Vegetable Curry Roll,40
Cheese Crackers,90
Mango Jalapeno Bruschetta,15
Kallu Knockout  ,20
Homemade Pan Pizza With Perfectly Crispy Crust,120
Horsegram Sesame Chutney,25
Kerala Style Rich Creamy Egg Cashew Curry,45
Egg Bhurji Stuffed Pita Pockets,20
Almond Butter,60
Yellow Cucumber Pachadi,25
Goan style Caril De Camarao  ,25
Tamil Nadu Style Masala Dal Vada,260
Sticky Cranberry Gingerbread,70
Paruppu Thogayal,35
Mushroom Do Pyaza,40
Buttermilk Cinnamon Rolls,240
Pumpkin Spice Curry,20
Dark Chocolate Cream Jars,55
Spicy and Creamy Achari Mushroom Open Toast,30
Mango Greek Yogurt Cheesecake with Muesli Crumble,90
Mumbai Style Tawa Pulao  With Moong Sprout,55
Healthy Creamy Chicken Soup With Vegetables,70
Gujarati Valsadi Vada,55
Maharashtrian Tindora Sabzi With Peanuts,25
Goan Soya Mince Potato Chop,50
Chickpea Salad  With Raw Mang,35
Kerala Style Beetroot Pachadi,35
Bitter gourd spice vegetable,25
Foxtail Millet Podi Dosa,565
Chow Chow Vegetable,50
Bhaja Pithe,120
Saag Tofu  ,60
Himachali Chana Madra  ,45
Vietnamese Lemongrass Shrimp Skewers,40
Classic Indian Sliced Salad,10
Goan Kaju Curry  ,55
Summer Squash Pasta,40
Mexican Beans Salad,30
Chettinad Paruppu Urundai Kuzhambu ,40
Hilsa Oil Soup,20
Spinach And Corn Pasta Salad In Jar,40
Kaacha Gola  ,35
Assamese Style Walking Catfish In Curry Leaf Gravy,40
Khumb Kakuri Potli Kebab  With Sandwich Sprea,40
Bajra Khincha,25
Capsicum Curry ,60
Potato Latkes,40
Mint and Pomegranate Raita ,50
Chettinad Vegetable Biryani,55
Asian Style Rice Noodle Salad  With Vegetables,35
Banarasi Chuda Pea / Chuda Pea,30
Kashmiri Saag,30
Kolhapuri Palak Egg Curry,55
Goan Style Mushrooms ,40
Keema Bhindi Masala,45
Mushroom Empanadas,90
Uttarkhand Style Mixed Bhaddu Dal,340
Cape Gooseberry Salad,10
Crisp Baked Tandoori Mayo Cheddar Chicken,70
Amarod Curry  ,45
Ratalu Pakora,40
Mango Salsa,30
Shahi Tindora,55
Cinnamon Sugar Focaccia Bread,230
Spinach And Corn Au Gratin  With Cheesy Di,50
Egg Rolls With Moringa Leaves,40
Brown Rice Flakes Pudding / Desi Poha Kheer,60
Cardamom Macaroons,70
Chilli Cheese Mushroom Momo,50
Goan Style Bimblanche Sasav,15
Chicko,5
Chettinad Eral Thokku,40
Kadai Chole,55
Besan Capsicum Ki Sabzi ,50
Cauliflower & Potato Stir Fry with Nigella Seeds ,45
Minced Meat & Corn Stuffed Bell Peppers,55
Greek Style Vegan Moussaka,85
Delicious Italian Chicken Cacciatore  with Mushrooms & Olive,55
Vegetable Manchow Soup,40
Himachali Style Pahari Aloo Palda,35
Chocolate Marble Cake  Using Preethi Electric Pressure Cooke,40
Nungu Payasam,90
Mangalorean Style Cheenikayi Kadubu  ,55
Aval Upma,30
Baked Gobi Manchurian,40
Shahjahani Khichdi,60
Aloo Bhindi  Flavored With Mustard And Poppy Seed,60
Iranian Tea,20
Drumstick Leaves Ragi Roti,50
Hariyali Matar,20
Peas Pulao,35
Rasawala Dhokla,15
Oats Methi Muthia,35
Gobi Biryani ,75
Keerai Vadai  Made With Figaro Pure Olive Oi,170
Chicken Chops,35
Amla Thogayal,25
Caramelized Banana French Toast,20
Spicy Hot Chocolate,20
Crunchy corn and capsicum chaat,30
Aam Peda,30
Tamil Nadu Style Milagu Thattai  ,60
Vanilla Panna Cotta  with Cocoa & Min,460
Doi Shorshe Chingr,35
Paneer and Green Peas Paratha,65
Radish and Wadi vegetable,30
Moong Dal Dosa,400
Bengali Style Chicken Rezala,45
Afghani Dhoog,10
Bhoplya Cha Bharit  – Maharashtrian Pumpkin Sabz,45
Mixed Vegetable Pulao,60
Raw Banana Thoran,25
Bow Tie Pasta With Baby Spinach,50
Bread Toast,20
Cheesy Stuffed Schezwan Pav,35
Mushroom Baby Corn Kaalimirri,60
Fluffy & Crispy Cheese Herbed Biscuits,60
Bhopli Mirchi Chi Peeth Perun Bhaji,30
No Onion No Garlic Cabbage Kofta Curry,65
Karuveppilai Kuzhambu  ,50
No Bake Marie Biscuit Energy Bites,100
Goan Style Mushroom Vindaloo,50
Eggless Coffee Caramel Cake With Walnuts,40
Saunf Wale Aloo Baingan,30
Oatmeal Cherry Cookies,80
Oatmeal Banana Mini Muffins,30
Chocolate Lover's Cheesecake,45
Motiya Chilman Pulao,40
Potato Vegetable,20
Red Wine Sauce Over Baked Sole Fish,40
Lemongrass Flavored Tofu Fried Rice,40
Bhel Puri With Raw Mango,15
Broccoli Pakora Masala,30
Long Brinjal Poriyal Masala,30
Cauliflower & Cucumber Raita ,50
Menthi Vankaya,20
Baale Dindu Kadale Paly,65
Maharashtrian Green Chilli Thecha,15
Gujarati Lasaniya Batata,45
Healthy Lauki Kofta Curry  | Non Fried Bottle Gourd Coffee Curry | Dhoodi Koft,60
Corn and Peas Curry,55
Soya Keema Masala,45
Tomato Basil Chicken Curry,35
Kerala Style Eggplant Curry,50
Grilled Chicken Wings,70
Veechu Parotta Or Ceylon Parotta,55
Mawa Gujiya With Badam and Pista,60
Vegetarian Thai Green Curry,55
Chettinad Rasam Powder,35
Paneer Stuffed Bhindi In Ajwain Tomato Gravy,35
Asian Style Stuffed Omelette,30
Aluchi Bhaji,30
Amritsari Fish Fry,75
Chickpea Sundal,40
Thai Coconut Curry Soup,50
Inji Thogayal,20
Diwali Cornflakes Mixture,45
Kaju Pakoda  ,30
South Indian Grilled Fish With Spicy Fusion Sauce,100
Methi Moong Dal Palak,45
Sindhi Style Chicken Curry  Using Preethi Electric Pressure Cooke,70
Indian Style Jeera Biscuit,50
Pudina Moong Dal  ,35
Shrimp Spinach Cheese Swirl,75
Masala Palak Bhurji  ,35
Matar Poha  ,25
Udupi Style Thondekayi And Badnekayi Sambar,40
Kumaon Style Thechwani,35
Chicken Ranch Wraps,40
Arbi Ka Achaar  ,35
Olive & Tofu In Harissa Curry,30
Pudina Moong Dal,35
Chiroti,45
Savory Flattened Rice & Potato Breakfast ,50
Mint Coriander Spice Pulao,25
Paneer Malai Makhani Biryani,70
Raw Mango Carrot Cucumber Salad  With Peanut,15
Dried Cranberry & White Chocolate Chip Biscotti,80
Andhra Style Sorakaya Kura,35
Delhi Style Matar Chaat,545
Kongunadu Style Senai Kilangu Masala,40
No Onion No Garlic Aloo Gajar Ki Sabzi,40
Konkani Style Karate Batate Puddi Sagle,40
Olya Kaju Chi Amti,40
Chettinad Mint Potato Biryani,35
Puffed Lotus Seed Pakoras,40
Thengai Paal Kurma,50
Kala Chana Pilaf,40
Drumstick Leaves Fried Rice,35
Fish Fry,65
Meetha Daliya With Milk & Fruits,15
Whole Wheat Naan,170
Amritsari Murgh Makhani,55
Oriya Special Dalma ,70
Thai Lemongrass Rice,70
Semolina Vegetable Chilla,45
How To Make Homemade Kashmiri Masala/ Spice Mix,45
Pumpkin Coconut Ladoo,15
Dal Fry,30
Raw Banana Tikkis,45
Katachi Amti  ,25
Maharashtrian Vegetable Amboli  ,380
Amrood Raita,15
Achari Aloo ,30
Goan Style Kulkuls  ,60
Pumpkin Cheesecake,150
Tofu Fried Rice,80
Stuffed Strawberries  With Grated Panee,13
Mango Phirni,55
Spicy Mushroom Veggie Burger,50
Healthy Amaranth Potato Thyme Croquette,50
Herbed Buttered Rice  With Green Pea,35
Stuffed Kathal,60
Gujarati Meetha Pudla  With Caramelized Banana,40
Stuffed Idli Ke Pakode,75
Rajgira Puri  ,55
Spiced Rajma Pulao,65
Kashmiri Style Apple Tamatar Sabzi,50
Eggless Marble Cake,45
Gulkand Kala Jamun,35
Mutton Ghee Roast,51
Karnataka Style Churumuri,25
Eggless Whole Wheat Tutti Frutti Cake,60
Hare Chane Ka Pulav,60
Carrot Ribbon Salad With Asian Sesame Dressing,20
Maharashtrian Achar Ka Masala ,20
Thai Style Curried Corn Fritters,30
Tofu Fried Rice ,80
Strawberry Cheesecake Muffins,55
Perfect Gooey Mozzarella Garlic Bread,20
Bengali Style Dhokar Dalna  ,225
Gan Bian Dou Jiao  ,25
Karnataka Style Sorakkai Palya ,40
Boondi Raita  Spiced With Black Salt ,35
Dahi Suran Ki Kadhi,45
Radish Soup,40
Raw Mango And Spring Onion Chutney,40
Punjabi Style Egg Curry,40
Mango Shrikhand Taco,15
Green Peas Nimona ,60
Black Eyed Bean Lemon Bruschetta,30
Pav Bhaji Pizza,75
Fenugreek & Egg Fried Rice  ,50
Cheesy Tawa Pizza  With Corn And Broccol,40
Cabbage Poricha Kootu  ,35
Pyaaz Ki Kachori,60
Mexican Cottage Cheese Chicken Enchilada,75
Mango Tofu Smoothie,10
Carrot Soup,25
Keerai Karamani Kuzhamb,30
Onion Rava Bhakri  ,45
Chatpatti Makai Masala,40
Bedmi Poori,80
Instant Cucumber Pickle,10
Chicken Bánh Mì,45
Milagu Pirattal Poriyal ,55
Rajasthani Khoya Matar Sabzi,30
Black Bean Noodles,30
Pudina Quinoa,30
Goan Chana Ros  ,530
Palak And Peas Kachori,45
Veggie Rava Idli ,45
Moong Dal Idli With Thengai Milagai Podi,40
Curried Sweet Potato Mexican Fajita,60
Bhakarwadi Chaat,20
Ghoogri,100
Pineapple Ladoo,30
Kalyana Veetu Senai Curry,60
One Pot Vangi Bhath  In Hind,30
Baked Yogurt With Honey Cinnamon Grilled Fruits,60
High Protein Grilled Rajma Corn Sandwich,40
Mexican Style Cemita,270
Hunan Style Sweet Sour Chicken,30
Maharashtrian Style Dudhi Kajuchi Sonari Amti,35
Tomato Chutney ,35
Sabbasige Soppu Dosa  ,225
Fried Poha Chivda,30
Spiced Prune Chutney,30
Chow Chow Thoran ,30
Kabuli Chana Rasam,30
Cheesy Chicken Tikka,75
Masoor Dal Gassi,50
Jowar Atta Pyaz Thepla  – Sorghum Wheat Onion Thepl,35
Vegetarian Pad Thai,45
Chicken Stuffed Bread,65
Sweet Potato & Spinach Hash brown,40
Kerala Style Kanji Payar,55
Green Chana Chutney ,15
Pattani Kootu  ,35
Asparagus Broccoli Fettuccine Pasta With Roasted Almonds,40
Chenai Kizhangu Masiya,25
Stuffed Potato Cutlet  With Mint May,45
Chicken Steak  With Pan Roasted Vegetables & Potato Mas,50
Zucchini & Red Pepper Muffin,45
Arbi Cutlet  ,40
No Bake Lemon Bars,50
Broccoli Stir Fry ,30
Pan Fried Onion Pakora,40
Oats Chivda,79
Orange Rasam,35
Methi Malai Matar,40
Kashmiri Rogan Josh,130
Chocolate Doughnut,135
Spring Onion and Peanut Raita,15
Macaroni Chaat,30
Tuvar Ni Dal,30
Vietnamese Rice Noodle Salad,22
Whole Wheat Onion Stuffed Kulcha,190
Caramelized Carrots & Pumpkin Seeds Cake,60
Ulundhu Kali  ,25
Kollu Vada Kurma  ,55
Padpe Uppukar,30
One Pot Chickpea And Brinjal Curry,35
Green Chilli Vegetable,20
Frozen Strawberry Yogurt,50
Masala Cheese Bread Loaf  With Garam Masala & Herb,160
Milk Peda,45
Oriya Style Ambila,60
Khatti Meethi Tinda Sabzi ,40
Coca Cola Bundt Cake,70
Vegetarian Watermelon Jello,60
Maharashtrian Kadhi,35
Aloo Bhindi Masala Gravy,35
Turai Baingan Ki Sabzi,55
Homemade Hoisin Sauce,15
Dry Navratan Korma,40
Apple Onion Chutney ,35
Ragi Masala Twisters,67
Ellu Sadam ,50
Berry Focaccia with Mascarpone Cheese ,165
Eggless Fresh Cherry Cake,50
Green Moong Dal Sabzi ,60
Gutti Vankaya,55
Methi Turai Ki Sabzi ,30
Apple Danish Pastry,40
Ajwain Puri,55
Paneer Chilli Dosa,35
Kashmiri Anardan Chetin  ,30
Karnataka Style Sabbasige Rasam,40
Mexican Style Capirotada,40
Sweet Corn & Avarakkai Sundal,25
Pepper Cauliflower,30
Fresh Apple Bundt Cake,50
Vagharela Chawal,25
French Madeleine,80
Traditional Maharashtrian Bhakarwadi,40
Ribbon Pakoda,60
Chocolate Kaju Katli,50
Ind,40
Grilled Cheese Sandwich  With Paneer & Potat,35
Bendekayi Koddel/Bolu Huli,30
Homemade Lemon Sevai,160
Mavinakayi Chutney,15
Atta Biscuit  ,60
Chilli Chicken Cheese Quesadilla,40
Mocha Swiss Roll  ,795
Aamras,15
Basundi / Rabri,55
Oriya Style Moong Dalma ,60
Kala Chana Masala Curry,40
Chicken Dum Biryani,150
Mughlai Style Chicken Haleem,50
Kerala Style Pazham Pori  ,40
Chicken Yakisoba,45
No Bake Nutella Cheesecake,455
Mutton Do Pyaza,85
Tamil Nadu Style Broccoli Poriyal,30
Kashmiri Style Modur Pulao,50
Thotakura Majjiga Pulusu,35
Nandan Kozhi,50
Tomato Basil Chicken Curry,35
Penne With Roasted Eggplant And Mint Pesto,30
Mango Panna Cotta With Fruit Cream,140
Kerala Chicken Curry,70
Baba Ganoush  ,40
Karnataka Style Jackfruit Moong Dal Payasa,15
Matar Butter Masala,25
Spicy Mullangi Thogayal  ,54
Mavinakayi Chitranna,45
Punjabi Methi Kadhi,40
Pav Bhaji Flavored Pasta,35
Flourless Chocolate Rum Cake,50
Ragi Choco Coffee Mug Cake,11
Mix Vegetable Risotto,35
Almond And Besan Ladoo,70
Apple Jalebi,40
Jaisalmer Kala Chana Kadhi,55
Boiled Peanut Raita,10
Dal Shorba,25
Sabudana Khatti Meethi Namkeen,30
Chettinad Kozhi Rasam,30
Bengali Doi Maach  ,40
How to Make Homemade Flat Noodles With Egg,40
Veg Shawarma,75
Parsi Steel Chas Payelo Sakarkand,25
Quick & Easy Apple Cake,80
Kumbalakai Majjige Huli,65
Curried Carrot Celery Soup,30
Date Obbattu  ,90
Baked Vegetable Seekh Kebab,50
Kiwi Sondesh,60
Eggless Cinnamon Flavoured Apple & Plum Cake,60
Twin In One Bread Loaf,65
Anhui Style 5 spice Corn Croquettes,25
Sweet Potato Gnocchi  With Garlic And Herb Butte,55
Thakkali Rasam,40
Sour Mint Potato,25
Manathakkali Kootu,40
Pan Fried Avocado Kofta ,18
Bajra Matar Ki Khichdi ,290
Paleo Balsamic Mushrooms,35
Apple And Raisin Chutney,30
Paneer Gassi,45
Chow Chow Thakkali Kootu,25
Andhra Style Raw Soup,15
Ajwain Puri,55
Arbi Gosht Masala,50
Mexican Style Red Chicken Chilaquiles,35
Kala Chana Amti,40
"Fig, Ricotta And Honey Salad  With Pine Nut",30
Homemade Whole Wheat Crepes,40
Creamy Cinnamon Peach Milkshake  With Chia Seed,10
Vanilla Dutch Baby Pancake,30
Sindhi Kadhi,70
Fruit Kebabs,20
Soft Taco With Mushroom and Roasted Bell pepper Sauce,45
Roasted Chicken Curry  In Spinach Parmesan Sauc,35
Avocado Tomato Grilled Cheese Sandwich,25
Ragi Nippattu  With Peanuts And Sesam,30
Chinese Dragon Chicken With Vegetables,40
Hot chicken,45
Paneer Shashlik,80
Parshe Macher Jhal,35
Awadhi Style Dal Masoor Mussallam,45
Green Chutney Aloo Chaat,30
Healthy Carrot Methi and Mooli Thepla,45
Eggless Saffron Yogurt Mousse  With Cardamom & Nut,185
Khamiri Roti,60
Green zucchini tamarind broth  ,40
Kolhapuri Misal Pav,150
Chickpea Pulses  with Coconut ,25
Sparkling Strawberry Mocktail,10
French Crullers,70
Matar Millet Pulao,30
Chettinad Style Tomato Vermicelli Upma,25
Kovakkai Podi Curry,35
Easy Creamy Chicken Curry,42
Pudina Dahi Chutney,15
Malvani Anda Curry,30
Shanghai Yang Chun Noodle  ,45
Green Legume Fry,20
Marwari Gatta Kadhi,55
Chicken Tikki,25
Kala Chana Masala,155
Oats And Spinach Pongal,35
Allahabadi Tehri  ,40
Blueberry Chia Banana Smoothie,15
Podi Potta Pachhai Kathirikai | Brinjal Stir Fry  With Curry Powde,30
Creamy Dal Makhani ,65
Carrot Amla Pomegranate Juice,10
Semolina Porridge Fruit & Nut Breakfast Bowl,20
Curd Rice Style Overnight Oats,15
Badge m Badge Badge Mia Gai Badge / Badge Badg,20
Bengali Aloo Jhinge Poshto Curry,45
Masala Roasted Aloo,50
Paneer Stuffed Mushroom Masala,45
Manipuri Style Alu Kangmet,20
Asian Shrimp And Veggie Bowl,45
Mughlai Aloo Great,50
Mugachi Usal,30
Corn Korma ,35
Sindhi Tahiri,55
Vermicelli Biryani ,30
Beetroot Chicken Cutlets,50
Paneer Carrot Stuffed Paratha,55
Rustic Cottage Pie With Mushroom Sauce,110
Shortbread Cookies With Citrus Zest,60
Sweet Potato & Lentil Tacos  With Cranberrie,60
Cheesy & Spicy Pull Apart Bread  With Indian Spice,110
Mango Curry,55
Avalakki Bella Usuli  ,15
Andhra Style Pesarattu Upma,285
Orange And Poppy Seeds Muffins,48
Gluten Free Samosa,55
Banana Walnut Chai Smoothie,15
Honey Glazed Roasted Carrots  With Herb,35
Loaded Baked Potato French Fries,40
Thotakura Undalu  ,35
Anda Bhurji,30
Zucchini Boats With Chickpeas In Tomato Hummus,70
Foxtail Millet Vermicelli Upma,30
Grilled Cherry Tomato Pickle,40
Pissaladiere,135
Baby Potato Theeyal,65
Oats Uttapam topped with Paneer,60
Peanut Butter Cookie Bars,130
Sel Roti  ,40
Suran Kofta Curry,40
Turmeric Milk,15
Chow Chow and Carrot Kootu,50
Pumpkin Erissery,40
Sesame Peanut Potato Mix,40
Baked Banana Chips,45
Narkel Naru Ladoo  With Grated Coconu,90
Oriya Style Ghanta Tarkari ,65
Sri Lankan Egg Curry ,60
Red Rice Dosa  ,130
Beetroot & Spinach Nimki  ,60
Lemon Pepper Fish,30
Iyengar Style Thavala Adai,180
Stuffed Jackfruit Curry  ,60
Israeli Couscous Salad,35
Nei Appam  Using Rice Flou,150
Chicken Spaghetti in Tomato Basil Sauce,70
Paal Kozhukattai  With Banana,55
Maharashtrian Kalanyachi Bhakri  With Groundnut Chutne,45
Goan Raw Banana Sabzi,20
Garlic Shrimp Linguine Pasta,30
Healthy Fruit Pizza  For Breakfas,30
Sweet Lime Soda  ,15
Vaangi Bhaat ,50
Mash Ki Dal Khasgai  ,55
One Pot Te,45
Saffron Pistachio Firni,50
Punjabi Style Espresso Coffee,40
Vempampoo Rice  ,370
Menthe / Fenugreek Seeds Tambli  ,30
Thai Style Noodles With Spinach And Leeks,40
Pasta Salad With Broccoli & Feta Cheese,40
Healthy Spinach Idli  ,20
Punjabi Bhindi Kadhi,45
Mushroom Strudel,50
Suran Moongphali Curr,45
Roast Peaches with Coconut Walnut Sauce,60
"South Indian Style Green Moong Sprouts, Raw Mango Salad",10
"Beetroot, Carrot & Cucumber Salad with Peanuts",30
Instant Mixed Vegetable Pickle,40
Methi Kumro,25
Til Ke Aloo ,35
Kaju Butter Masala,30
Aloo Patta Gobi Sabzi,20
Hyderabadi Style Cells,55
Maharashtrian Gavachi Kheer  ,45
Stuffed Matar & Gobi Paratha  ,30
Creamy Spinach Basil Pasta,35
Kathiawadi Adad Dal,35
Chinese Style Green Beans,20
Cheesy Baked Ziti Pasta  with Roasted Mushroom & Cor,50
Passion Frui,255
Anda Bhurji,30
Aloo Gobi Ki Sabzi ,40
Fish Tikka Masala Gravy,40
Karnataka Steel Awarekai Upma,30
Green Beans Salad,25
Raw Banana and Banana Stem Stuffed Paratha,50
Roasted Red Pepper Hummus,50
Chaat Masala Mashed Potato Toasted Sandwich,35
Ind,35
Moroccan Eggplant And Garbanzo Stew,40
Cheesy Pav Bhaji,30
Enchorer Torkari,75
Creme Caramel Flan  ,45
Elo Jhelo Nimki,55
Spinach And Tomato Quiche,45
Kerala Style Avial,75
Muga Ambat,50
Puli Koozh,25
Chakka Erissery,30
Cold Phyllo Tartlets With Cream Cheese And Dill Toppings,25
Aal Ke Kofte ,75
Vepampoo Kara Kuzhambu  ,55
The Best Spicy Spaghetti Bolognese,55
Rajasthani Dal,30
Banana And Cranberry Bran Muffins,55
Tandoori Chickpea & Cauliflower Curry  ,60
Achari Paneer Tikka,50
Rava Pongal ,60
Oats Yogurt Parfait With Fruits,20
Indo Japanese Rice Cakes,35
Cauliflower Rice and Lentil Curry,50
Healthy Vegetable Paratha Rolls,40
Vegetarian Malai Kebab,35
Curd Oats,15
Persian Eggplant Stew  ,55
Labongo Latika,45
Moong Dal Ladoo,20
Adzuki Bean Paste  ,545
Paneer Pav Bhaji,50
Andhra Style Beetroot Vepudu  ,30
Iyengar Style Whole Wheat & Oats Khara Biscuit  ,45
Punjabi Rajma Masala,105
Eggless Date & Walnut Oatmeal Cake,89
Muesli Pumpkin Bread,65
Baby Corn & Tomato Masala Bat,30
Raab,20
Prawn Ghee Pepper Masala  With Garli,25
Ada Pradhaman,70
"Creamy Cabbage, Sweet Corn Cole Slaw with Hung Curd",15
Mamsaam Chops  ,55
Karnataka Style Kadle Kaalu Saru  ,530
Broccoli and Tofu Vegetable,35
Satsaagi,50
Baked Eggplant Stuffed with Red Lentil Hummus,65
Lebanese Style Riz B Haleeb,50
Puffed Rice Upma ,30
Homemade Macaroni And Cheese,30
Avarekalu Usli,40
Ragi Or Finger Millet Powder/ Malt  for Babies 6 Months & Abov,850
Sri Lankan Style Fried Egg Curry,40
Pepper Tea,7
Pull Apart Mini Pizza Boats,100
Roasted Beet & Walnut Dip,50
Peanut Saffron Barfi,40
South Indian Case Tiger Joint  ,25
Kala Chana Salad,15
Banana Stem Thoran,40
Three Bean Salad,30
Spinach And Sweet Potato Kofta In Green Curry,50
Chettinad Vegetable Pulav,60
Eggless Ragi & Whole Wheat Crisp Biscuits,80
Cheesy Grilled Sandwich With Smoked Chicken,258
Papad Parathas,40
Mangalore Nurge Gashi,45
Methi Bajra Poori,70
Healthy Spicy Banana Cake,45
Fenugreek Spiced Sardine Fish Curry,35
Dahi Bhindi ,30
Whole Wheat Fruit and Nut Cup Cake,45
Sorekai Majjige Huli,50
Kare Badge Badge Papa Badge Badge Badge ,20
Jowar Dhani Chivda,40
Moroccan Harira  ,85
Spicy Mixed Vegetables Rice Cutlet,35
Upside Down Pear Ginger Cake,40
Punjabi Masala Lobia Vegetable,165
Maharashtrian Rice Flour Porridge,10
Ande Ka Salan,45
Oats Omelette,15
Southern Style Fried Chicken,120
Tawa Idli,25
Egg And Harissa Sandwich,25
Chaas Dahi Vada,60
Chingiri Paturi,45
Cajun Style Potatoes,80
Puli Upma  in Ragi Pacha,25
Raw Banana Chivda,45
Shahi Tukda Gajar Halwa Shots With Rabri,130
Beetroot Paratha,50
Bhatt Ki Dal,35
Matar Pudina Oat & Broken Wheat Tikki,35
Black Forest Cake,260
Happy Dahi Wali Gourd,45
Tomato Rice With Basil,50
Peanut Chaat With Spiced Yogurt,40
Chicken Pakora,35
Gajar Lauki Juice,20
Roasted Vegetables With Tahini Sauce,50
Karnataka Style Ellu Bella  ,45
Peanut Curry,35
Savory Tart  with Grape and Gouda Chees,70
Healthy Tomato Carrot Onion Soup,30
Mughlai Bhindi,45
Chow Chow Thoran ,30
Biryani Masala Powder,10
Italian Pasta Sizzler,60
Whole Wheat Sonth Ke Ladoo,40
Crispy Lavash  | Lebanese Bread ,42
Punjabi Style Boondi Kadhi,40
Quick & Easy Creamy Fruit Trifle,320
Chilli Chicken,110
Burnt Garlic Chicken Fried Rice,40
Bacon Quiche Tart,100
Aloo Bonda  ,55
Desiccated Coconut Coriander Chutney,10
Rajasthani Gunday Pickle  ,45
Shahi Paneer,50
Egg Pakora,45
Spicy Goan Style Mushrooms,40
Baked Whole Wheat Salsa Tart,55
Dal Kabila,30
Thumbprint Salted Caramel Chocolate Cookies,27
Olive Oil & Cranberry Cookies,40
Green Beans And Scrambled Egg,35
Mirchi And Aloo Curry,40
Bardoli Ki Khichdi,50
Chocolate Pancakes With Banana,25
Stuffed Makai Paratha  ,60
Kanji,5
Shahi Egg Curry  In Tomato & Cashew Grav,90
Mooli Makki Roti,55
Pineapple Chicken Curry,25
Vietnamese Vegetarian Spring Rolls  With Mushrooms & Vegetable,35
Dhingri Dolma ,45
